Title,Year,Age,IMDb,Rotten Tomatoes
Kickin' It,2011,all,6.3,none
Violetta,2012,all,5.2,none
Marvel's Avengers Assemble,2013,7+,7,none
I am Luna,2016,none,6.8,none
Even Stevens,2000,all,7.6,none
Austin & Ally,2011,all,5.9,none
Star Wars Resistance,2018,7+,4.9,92%
Prop Culture,2020,7+,8.6,none
Andi Mack,2017,all,7.2,none
Sonny with a Chance,2009,all,6.1,none
The New Adventures of Winnie the Pooh,1988,all,7.6,none
Dog Whisperer,2004,all,8,none
Little Einsteins,2005,all,6.2,none
Raven's Home,2017,all,7.4,none
Marvel's Inhumans,2017,7+,5,11%
Marvel's Spider-Man,2017,7+,6.1,none
So Weird,1999,7+,8.5,none
Diary of a Future President,2020,7+,5.5,100%
Timon & Pumbaa,1995,all,7.1,none
Milo Murphy's Law,2016,all,7.5,none
Shake It Up,2010,all,4.8,none
Marvel's Guardians of the Galaxy,2015,7+,7.4,none
Lilo & Stitch: The Series,2003,all,6.8,none
Hercules,1998,all,6.6,none
Wicked Tuna,2012,16+,6.6,none
Encore!,2019,7+,7.4,68%
Big City Greens,2018,7+,6.7,none
Phil of the Future,2004,all,7,none
The Proud Family,2001,all,6.4,none
Elena of Avalor,2016,all,6.4,none
Spider-Man Unlimited,1999,7+,6.5,50%
Amphibia,2019,7+,7.9,none
Iron Man: Armored Adventures,2009,7+,6.5,none
Dr. K's Exotic Animal ER,2014,7+,7.9,none
Spider-Man and His Amazing Friends,1981,7+,7.2,none
Big Hero 6 The Series,2017,7+,7.1,none
Goof Troop,1992,all,6.8,none
Sydney to the Max,2019,all,6.1,none
The Super Hero Squad Show,2009,7+,6.1,50%
Puppy Dog Pals,2017,all,7,none
The Incredible Hulk,1996,7+,6.8,none
One Day at Disney,2019,all,7.4,none
Quack Pack,1996,7+,6.8,none
I Didn't Do It,2014,all,6,none
The Emperor's New School,2006,all,6.6,none
Coop & Cami Ask The World,2018,all,5.8,none
Hostile Planet,2019,none,8.2,none
Stuck in the Middle,2016,all,5.9,none
Bonkers,1993,all,6.8,none
Fantastic Four: World's Greatest Heroes,2006,7+,6.8,none
Randy Cunningham: 9th Grade Ninja,2012,7+,6.6,none
Fantastic Four,1994,7+,6.5,none
Silver Surfer,1998,7+,7.1,none
My Friends Tigger & Pooh,2007,all,5.8,none
Imagination Movers,2008,all,7,none
Out of the Box,1998,all,7.5,none
Vampirina,2017,all,6.8,none
The Lion Guard,2016,all,6.5,none
"Dr. Oakley, Yukon Vet",2014,all,8.1,none
Marvel’s Hulk and the Agents of S.M.A.S.H,2013,7+,6.1,none
Primal Survivor,2016,none,8.3,none
Crash & Bernstein,2012,all,4.8,none
Jake and the Never Land Pirates,2011,all,5.6,none
Car S.O.S.,2013,none,8.1,none
Lab Rats: Elite Force,2016,7+,6.5,none
JONAS,2009,none,4.6,none
Iron Man,1994,7+,6.7,none
Mighty Ducks: The Animated Series,1996,7+,6.4,none
Fish Hooks,2010,all,4.6,none
Evermoor,2014,all,6,none
Short Circuit,2020,all,none,none
Lego Star Wars: Droid Tales,2015,7+,7.5,none
The Replacements,2006,7+,5.8,none
Pick of the Litter,2019,7+,8.2,none
Muppet Babies,2018,all,7,none
Fancy Nancy,2018,all,5.2,none
Mickey and the Roadster Racers,2017,all,6.2,none
It's A Dog's Life,2020,7+,5.2,none
Pixar in Real Life,2019,all,6.5,none
Secrets of the Zoo,2018,none,none,none
The Lodge,2016,none,6,none
Kingdom of the White Wolf,2019,none,8.2,none
Legend of the Three Caballeros,2018,all,7.9,none
Marvel's Hero Project,2019,7+,6.1,92%
Be our Chef,2020,all,6.9,none
Shop Class,2020,all,7.2,none
Spin and Marty,1955,all,8.2,none
The Book of Pooh,2001,none,6.3,none
Great Migrations,2010,all,8.1,none
Year Million,2017,16+,7.5,none
Origins: The Journey of Humankind,2017,none,6.7,none
Bizaardvark,2016,all,3.5,none
The Avengers: United They Stand,1999,7+,5.5,none
Spider-Woman,1979,all,5.7,none
Dog: Impossible,2019,none,8.2,none
America's National Parks,2015,all,7.9,none
Kirby Buckets,2014,7+,4.6,none
LEGO Star Wars: All-Stars,2018,7+,6.6,none
Fast Layne,2019,all,5.4,none
Teacher's Pet,2000,all,6.4,none
Unlikely Animal Friends,2012,none,7.7,none
Secrets of the Zoo: Tampa,2020,none,8.4,none
Marvel Super Hero Adventures,2017,all,6.2,none
Disney Family Sundays,2019,none,6,none
Birth of Europe,2012,all,7.1,none
Buried Secrets of the Bible with Albert Lin,2019,none,5.9,none
Billy Dilley's Super-Duper Subterranean Summer,2017,7+,4.6,none
Rocky Mountain Animal Rescue,2018,none,7.8,none
Prairie Dog Manor,2019,none,8.6,none
Disney Junior Music Nursery Rhymes,2017,all,6.6,none
Bug Juice: My Adventures at Camp,2018,none,7.2,none
Disney Insider,2012,none,none,none
Lost Treasures of the Maya,2019,none,none,none
Awesome Animals,2013,none,none,none
Tut's Treasures: Hidden Secrets,2018,none,none,none
Paradise Islands,2017,none,none,none
Wild Russia,2018,none,none,none
Love & Vets,2017,none,none,none
United States of Animals,2016,none,none,none
